check_date,period_label,pages_indexed,pages_excluded,total_pages_known,excluded_crawled_not_indexed,excluded_noindex,excluded_duplicate,brand_clicks,brand_impressions,brand_ctr_pct,brand_avg_position,home_status,robots_status,sitemap_status,sitemap_url_count,notes,actions
2026-03-12,week-2026-W11,,,,,,,0,0,0.00,0.00,200,200,200,2,Baseline tecnico ok: robots/sitemap raggiungibili. | Auto-check 2026-03-05..2026-03-11 | Brand metrics aggiornate da Search Console API. | Copertura indicizzazione (pagine indicizzate/escluse) non disponibile via API: compilare da UI Search Console. | Auto-check 2026-03-05..2026-03-11 | Brand metrics aggiornate da Search Console API. | Copertura indicizzazione (pagine indicizzate/escluse) non disponibile via API: compilare da UI Search Console. | Auto-check 2026-03-05..2026-03-11 | Brand metrics aggiornate da Search Console API. | Copertura indicizzazione (pagine indicizzate/escluse) non disponibile via API: compilare da UI Search Console. | Auto-check 2026-03-05..2026-03-11 | Brand metrics aggiornate da Search Console API. | Copertura indicizzazione (pagine indicizzate/escluse) non disponibile via API: compilare da UI Search Console.,Inviata sitemap in Search Console; avvio monitoraggio 2x settimana. | Nessuna azione urgente. | Nessuna azione urgente. | Nessuna azione urgente. | Nessuna azione urgente.
2026-04-27,week-2026-W18,,,,,,,0,0,0.00,0.00,200,200,200,6,Auto-check 2026-04-20..2026-04-26 | Brand metrics aggiornate da Search Console API. | Copertura indicizzazione (pagine indicizzate/escluse) non disponibile via API: compilare da UI Search Console.,Nessuna azione urgente.
